word	pos	approved	alternatives
a	art	y
abaft	prep	n	aft of
abandon	v	n	go;stop
abate	v	n	decrease
ability	n	n	can
able	adj	n	can
abnormal	adj	n	unusual;incorrect
abnormality	n	n	defect
absence	n	n	none;not;no
absent	adj	n	missing;no
absolutely	adv	n	fully
absorb	v	y
absorption	n	n	absorb
abundant	adj	n	large
abut	v	n	touch
accelerate	v	n	increase;faster
accept	v	y
acceptable	adj	n	permitted;satisfactory;serviceable
acceptance	n	n	accept
access	n	y
accessible	adj	n	access
accident	n	y
accidental	adj	y
accidentally	adv	y
accommodate	v	n	let
accomplish	v	n	do;complete
according to	prep	n	refer
account for	v	n	make sure
accumulate	v	n	collect
accumulation	n	n	quantity;collect
accuracy	n	n	precision
accurate	adj	y
accurately	adv	y
achieve	v	n	get
acquire	v	n	get
acrid	adj	n	dangerous
across	prep	y
act	v	n	(use an accurate verb)
action	n	n	step;procedure;task
activate	v	y
active	adj	y
activity	n	n	task;procedure;work
actuate	v	n	start;operate;push
actuation	n	n	operation
adapt	v	y
add	v	y
addition	n	n	add
additional	adj	n	more
adequate	adj	n	sufficient
adhere	v	n	bond;obey
adhesion	n	n	bond
adjacent	adj	y
adjacent to	prep	y
adjoining	adj	n	adjacent
adjust	v	y
adjustable	adj	y
adjustment	n	y
admit	v	n	let
adopt	v	n	use
advance	n	n	forward
advance	v	n	set;forward
adverse	adj	n	bad
advisable	adj	n	recommend
advise	v	n	tell;recommend
affect	v	n	effect
aft	adj	y
aft	adv	y
after	conj	y
after	prep	y
aft of	prep	y
again	adv	y
against	prep	y
agent	n	y
aggravate	v	n	increase
agitate	v	n	shake
agitation	n	n	shake
agree	v	y
ahead	adv	n	forward
aid	n	y
aid	v	n	help
aim	v	n	point
airborne	adj	y
air-dry	v	n	dry
airflow	n	y
alert	v	n	tell
align	v	y
alignment	n	n	align
all	adj	y
allocate	v	n	give
allow	v	n	let
allowable	adj	n	permitted;approved
almost	adv	y
along	prep	y
already	adv	n	in progress;no other
also	adv	y
alter	v	n	change
alteration	n	n	change
alternate	adj	n	alternative;each second
alternate	v	n	then
alternately	adv	n	in one...and then the other
alternative	adj	y
alternative	n	y
alternatively	adv	n	alternative
although	conj	y
always	adv	y
amend	v	n	change
amendment	n	n	change
among	prep	n	in
amount	n	n	quantity
an	art	y
analog	adj	y
analyze	v	n	analysis
anchor	v	n	attach
angular	adj	y
annotation	n	n	write;record
annunciate	v	n	show
another	adj	n	one more;different;again
anticlockwise	adv	n	counterclockwise
any	adj	y
any	pron	n	one
anytime	adv	n	when
apart	adv	y
aperture	n	n	opening
apparent	adj	n	see;find
appear	v	n	show;view;think;possible
applicable	adj	y
application	n	n	apply
apply	v	y
appoint	v	n	tell
approach	v	n	go near
appropriate	adj	n	applicable
approval	n	y
approve	v	n	approval
approved	adj	y
approximate	adj	y
approximately	adv	y
area	n	y
arise	v	n	occur;cause
arm	v	y
around	prep	y
arrange	v	n	put
arrangement	n	n	configuration;prepare
arrest	v	n	stop;hold
arrive	v	n	get
arrow	n	y
article	n	n	object
as	prep	y
as	conj	n	because;while;as follows;as necessary;as shown
as...as	conj	y
ascertain	v	n	make sure
ask	v	n	tell;speak
assemble	v	y
assembly	n	y
assess	v	n	calculate;estimate
assessment	n	n	estimate;calculate
assign	v	n	give
assist	v	n	help
assistance	n	n	aid;help
associated	adj	n	correct;related;its;their
assume	v	n	think
assure	v	n	make sure
as to	prep	n	about
asymmetric	adj	n	not symmetrical
at	prep	y
attach	v	y
attachment	n	n	attach
attain	v	n	show;be;get
attempt	n	n	try
attempt	v	n	try
attention	n	n	aid;careful;monitor
build	v	n	assemble
care	n	n	precaution;careful;carefully
careful	adj	y
carefully	adv	y
carry	v	n	transmit;transport
carry out	v	n	do;measure
case	n	n	condition
case (in case of)	conj	n	if
catch	v	y
categorize	v	n	category
cause	n	y
cause	v	y
caution	v	n	tell
cautiously	adv	n	carefully
cavity	n	n	hole;space
cease	v	n	stop
center	v	n	center
centralize	v	n	center
certain	adj	n	sure;some;specified
certify	v	n	write;approval
chafe	v	n	rub
chafed	adj	n	worn
chance (by chance)	n	n	risk;accidentally
change	n	y
change	v	y
channel	v	n	channel
characteristic	n	n	property;quality
charge	v	y
check	n	y
check	v	n	make sure;measure;examine
chemical	adj	y
chemically	adv	y
chip	n	n	particle
chip	v	n	damaged
chock	v	n	chock
choice	n	n	selection;alternative
choose	v	n	select;alternative
circa	prep	n	approximately
circle	v	n	around
circular	adj	y
circulate	v	n	supply
clamp	v	n	attach;put
classification	n	n	class;category
clean	adj	y
clean	v	y
cleanliness	n	n	clean
clear	adj	y
clear	v	n	clean
clearance	n	y
clearly	adv	y
click	n	y
click	v	n	click
clip	v	n	cut;attach
clockwise	adv	y
clogged	adj	y
close	adj	n	near
close	v	y
closely	adv	n	carefully
close to	adv	n	near
coat	n	n	layer
coat	v	n	layer
coating	n	n	layer
cock	v	n	set
code	n	y
code	v	n	identify
coil	n	y
coil	v	n	wind
coincide	v	n	align
coincident	adj	n	synchronized;align
cold	adj	y
collapse	v	n	close;fall
collect	v	y
color	n	y
color code	v	n	identify;code
colored	adj	n	color
combine	v	n	mix;put together
combustible	adj	n	flammable
come	v	y
come on	v	y
commence	v	n	start
commencement	n	n	start
common	adj	n	same
communicate	v	n	contact;speak;hear
communication	n	y
compare	v	y
comparison	n	n	compare
compatible	adj	y
compile	v	n	make a list;record;collect
complete	adj	n	full;all;completed
complete	v	y
completed	adj	y
completely	adv	n	fully
completion	n	n	end;complete
complicated	adj	n	not easy
comply	v	n	obey
component	n	y
comprehensive	adj	n	full
compress	v	y
comprise	v	n	have;contain
compulsory	adj	n	mandatory
compute	v	n	calculate
concentrate	v	n	all
concentration	n	y
concentric	adj	y
concern	v	n	applicable
condition	n	y
conduct	v	n	do
confine to	v	n	only
confirm	v	n	make sure
conflict	n	n	different;agree
conform	v	n	agree
conformance	n	n	agree
conformity	n	n	agree
connect	v	y
connection	n	y
consecutive	adj	n	one after the other
consecutively	adv	n	one after the other;sequence
consequence	n	n	because of
consider	v	n	think
considerable	adj	n	large;important;dangerous
consist of	v	n	have
consistent	adj	n	agree
constant	adj	y
constantly	adv	y
construct	v	n	assemble
consult	v	n	refer
contact	v	y
contain	v	y
container	n	y
contaminant	n	n	contamination
contaminated	adj	n	dirty;contamination
contamination	n	y
contents	n	y
contiguous	adj	n	adjacent
continue	v	y
continuous	adj	y
continuously	adv	y
contour	n	y
control	n	y
control	v	y
conventional	adj	n	standard
converse	adj	n	opposite
convert	v	n	change
convey	v	n	move;tell
cool	adj	y
cool	v	n	decrease
coordinate	v	n	synchronized
copy	n	y
copy	v	n	write;record
corner	n	y
correct	adj	y
