clone	intended_idx	status	proof	old_selection	old_placement	new_selection	new_placement	note
main-1	0	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/36 cpid=752825 kwin={85f9ba3a-b54c-4156-8acd-478467acf95e} kpid=752794 delta=31	1:openai-proxy then partial 0:daisy	d2 314,537 1062x701	0:daisy	d2 1138,321 1062x701	first attempt selected/moved before fractional windowsize failed; integer windowsize later returned success but KWin kept 1062x701
main-2	1	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/31 cpid=2141905 kwin={2feb85e3-a452-4ebd-9cbe-31a291490ccb} kpid=2141626 delta=279	2:vana-node-ops	d4 798,235 1422x981	1:openai-proxy	d2 1138,321 1422x981	windowsize returned success but KWin kept previous size
main-4	3	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/61 cpid=753397 kwin={b9289271-ce9f-40ca-abb8-041aada61126} kpid=753308 delta=89	2:vana-node-ops	d2 1138,321 1567x931	3:Coolify/Vivid Fish	d2 1509,138 1567x931	main:4 pane not touched; only clone client main-4 selection changed
main-5	5	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/62 cpid=754175 kwin={dba7e4ee-8434-42ad-9b65-e863e29f3f20} kpid=754058 delta=117	5:clawmeter	d2 208,194 1567x931	5:clawmeter	d2 1138,321 1567x931	windowsize returned success but KWin kept previous size
main-6	6	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/64 cpid=755011 kwin={5135f5a5-5a95-4769-bc3b-13ca9ba2f473} kpid=754922 delta=89	6:context-gateway	d2 1065,76 1178x1024	6:context-gateway	d2 108,50 1178x1024	windowsize returned success but KWin kept previous size
main-7	7	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/65 cpid=761499 kwin={09cb72e2-a551-4486-9ef7-8d6d2215b823} kpid=761217 delta=282	7:Devspecs	d2 2061,287 1567x931	7:Devspecs	d2 1138,321 1567x931	windowsize returned success but KWin kept previous size
main-8	8	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/67 cpid=763148 kwin={52028ba2-1468-4c38-889c-98044d682e65} kpid=763279 delta=131	8:unity-surfaces	d2 389,111 1567x931	8:unity-surfaces	d2 2180,614 1567x931	windowsize returned success but KWin kept previous size
main-9	9	APPLIED	tty=/dev/pts/68 cpid=763442 kwin={cdbc9a11-b66c-4395-95aa-be69b23a29a7} kpid=762990 delta=452	9:setsid	d4 34,102 1062x701	9:setsid	d4 34,102 1062x701	already matched selection and placement
main-11	11	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/70 cpid=766150 kwin={70a3113c-2bfc-4e15-8ffd-2a2e457fe18c} kpid=766026 delta=124	11:peregrine	d6 13,35 1567x931	11:peregrine	d2 1033,560 1567x931	windowsize returned success but KWin kept previous size
main-12	12	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/71 cpid=767734 kwin={93a2f3d3-fcb3-41d9-b7d6-c324dd0064d2} kpid=767622 delta=112	12:dotfiles	d6 64,197 1317x1159	12:dotfiles	d2 1138,321 1317x1159	windowsize returned success but KWin kept previous size
main-13	13	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/72 cpid=769287 kwin={20477f3c-f3fa-4725-a0b3-8e4a49d1d598} kpid=769355 delta=68	13:pdpp	d5 288,21 1062x701	13:pdpp	d6 13,35 1062x701	windowsize returned success but KWin kept previous size
main-15	15	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/74 cpid=770465 kwin={297569f0-8eb1-4080-ac61-a09b906afaf2} kpid=770534 delta=69	15:Claude Code	d4 77,295 1567x931	15:Claude Code	d6 64,197 1567x931	windowsize returned success but KWin kept previous size
main-16	25	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/75 cpid=770658 kwin={05062989-c208-4ff8-a2cc-8afe5f825ff6} kpid=770380 delta=278	16:data connector DX	d2 1138,321 1062x701	25:Review documentation	d3 1406,31 1062x701	windowsize returned success but KWin kept previous size
main-17	16	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/76 cpid=773879 kwin={0007c42f-0659-477f-8b6f-f3c1fd2b1abe} kpid=774003 delta=124	17:Claude Code	d4 871,186 1567x931	16:data connector DX	d5 288,21 1567x931	windowsize returned success but KWin kept previous size
main-18	17	APPLIED	tty=/dev/pts/77 cpid=774195 kwin={578924d3-726d-4992-9980-cac57ef08aff} kpid=773644 delta=551	24:sandbox	d2 1557,220 1062x701	17:Claude Code	d2 1138,321 1062x701	selection and placement match intended row
main-19	18	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/78 cpid=775701 kwin={75f4dfe2-0be7-4e10-965e-0353c896f4fa} kpid=775761 delta=60	19:Kitty notification fix	d1 482,77 1845x1131	18:setsid	d4 77,295 1845x1131	windowsize returned success but KWin kept previous size
main-20	19	SKIPPED	explicit exclude	current archive-2 idx28	not checked	not changed	not changed	do not touch per request
main-21	20	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/80 cpid=777383 kwin={088f6130-99e5-4e1f-95e7-6aa2561646bb} kpid=777260 delta=123	21:pdpp.dev transfer	d3 261,314 1567x931	20:claude	d4 807,144 1567x931	windowsize returned success but KWin kept previous size
main-22	21	APPLIED_WITH_SIZE_LIMIT	tty=/dev/pts/81 cpid=778637 kwin={bf3a54d8-5457-4916-a7d5-c0942aba381c} kpid=778567 delta=70	22:Vana Privy	d1 265,278 1567x931	21:pdpp.dev transfer	d2 1118,152 1567x931	windowsize returned success but KWin kept previous size
main-23	22	APPLIED	tty=/dev/pts/82 cpid=780042 kwin={0bda03b3-d3c1-494a-a10c-f98be00e2962} kpid=779855 delta=187	23:unity-surfaces	d1 1757,255 1062x701	22:Vana Privy	d1 421,123 1062x701	selection and placement match intended row
